,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
196,Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,31/12/1969,106,52,86,-10,5,71,220,44,13,81,Spain
197,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,31/12/1969,152,93,79,-5,95,81,173,22,8,82,Brazil
198,Coronao Now,El Alfa,dembow,2019,31/12/1969,118,73,94,-8,18,72,218,15,25,81,Chile
199,Côte Ouest,47ter,french hip hop,2019,31/12/1969,152,59,77,-8,18,58,233,50,9,59,France
200,CRUDELIA - I nervi,Marracash,italian hip hop,2019,31/12/1969,82,55,55,-8,34,7,231,15,10,80,Italy
201,Cuerpo en Venta,Noriel,latin,2019,31/12/1969,92,60,70,-6,10,41,254,16,30,85,Chile
202,Dan...,Sheila On 7,indonesian pop,1999,31/12/1969,125,54,66,-12,11,54,289,16,3,72,Indonesia
203,Dance Like,Harrdy Sandhu,desi pop,2019,31/12/1969,100,82,86,-3,30,54,172,38,10,64,India
204,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,World
205,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Africa
206,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Argentina
207,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Australia
208,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Belgium
209,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Bolivia
210,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Brazil
211,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Canada
212,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Germany
213,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Colombia
214,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Chile
215,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Spain
216,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,France
217,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Indonesia
218,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Israel
219,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Italy
220,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Malasya
221,Daniela,Rodolfo Aicardi,classic colombian pop,2012,31/12/1969,142,56,62,-7,18,93,198,52,3,51,Colombia
222,Dans l'univers,Nekfeu,french hip hop,2019,31/12/1969,132,42,64,-10,14,20,244,33,17,75,France
223,Der Bratan bleibt der gleiche,Capital Bra,german hip hop,2019,31/12/1969,96,70,61,-4,57,67,192,13,37,83,Germany
224,Desconocidos,Mau y Ricky,latin,2019,31/12/1969,174,75,72,-5,21,68,205,12,18,79,Bolivia
225,Detente,Mike Bahía,colombian pop,2019,31/12/1969,172,59,74,-5,11,36,182,27,35,77,Bolivia
226,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,desi pop,2019,31/12/1969,110,97,80,-2,35,69,177,15,4,68,India
227,Distant,Maes,french hip hop,2019,31/12/1969,105,73,75,-6,7,49,162,56,19,72,France
228,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,31/12/1969,170,71,74,-4,8,83,259,5,9,88,Argentina
229,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,31/12/1969,170,71,74,-4,8,83,259,5,9,88,Bolivia
230,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,31/12/1969,170,71,74,-4,8,83,259,5,9,88,Chile
231,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,31/12/1969,170,71,74,-4,8,83,259,5,9,88,Spain
232,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,2004,31/12/1969,115,64,60,-7,10,35,223,16,4,87,World
233,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,2004,31/12/1969,115,64,60,-7,10,35,223,16,4,87,Africa
234,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,2004,31/12/1969,115,64,60,-7,10,35,223,16,4,87,Australia
235,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,2004,31/12/1969,115,64,60,-7,10,35,223,16,4,87,Belgium
236,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,2004,31/12/1969,115,64,60,-7,10,35,223,16,4,87,Canada
237,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,2004,31/12/1969,115,64,60,-7,10,35,223,16,4,87,Germany
238,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,2004,31/12/1969,115,64,60,-7,10,35,223,16,4,87,United States
239,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,31/12/1969,102,25,57,-15,20,41,166,81,3,84,Canada
240,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,31/12/1969,102,25,57,-15,20,41,166,81,3,84,United States
241,Doch in der Nacht,Apache 207,german hip hop,2019,31/12/1969,131,83,90,-7,21,71,192,12,7,81,Germany
242,Dois Lados,Wesley Safadão,forro,2019,31/12/1969,160,85,66,-4,10,93,147,42,5,77,Brazil
243,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,desi pop,2019,31/12/1969,105,91,80,-4,31,91,164,10,6,65,India
244,Don't Start Now,Dua Lipa,dance pop,2019,31/12/1969,124,79,79,-5,10,68,183,1,8,97,World
245,Don't Start Now,Dua Lipa,dance pop,2019,31/12/1969,124,79,79,-5,10,68,183,1,8,97,Australia
246,Don't Start Now,Dua Lipa,dance pop,2019,31/12/1969,124,79,79,-5,10,68,183,1,8,97,Belgium
247,Don't Start Now,Dua Lipa,dance pop,2019,31/12/1969,124,79,79,-5,10,68,183,1,8,97,France
248,Don't Start Now,Dua Lipa,dance pop,2019,31/12/1969,124,79,79,-5,10,68,183,1,8,97,Israel
249,Don't Start Now,Dua Lipa,dance pop,2019,31/12/1969,124,79,79,-5,10,68,183,1,8,97,Malasya
250,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,31/12/1969,180,58,51,-11,18,87,242,36,4,83,World
251,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,31/12/1969,180,58,51,-11,18,87,242,36,4,83,Australia
252,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,31/12/1969,180,58,51,-11,18,87,242,36,4,83,Belgium
253,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,31/12/1969,180,58,51,-11,18,87,242,36,4,83,Canada
254,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,31/12/1969,180,58,51,-11,18,87,242,36,4,83,Germany
255,Dulce Pecado,Jessi Uribe,colombian pop,2019,31/12/1969,176,51,64,-4,13,77,175,61,5,63,Colombia
256,"Duniyaa (From ""Luka Chuppi"")",Akhil,desi pop,2019,31/12/1969,77,66,44,-6,13,52,223,70,4,71,India
257,Easy - Remix,Jhay Cortez,latin,2019,31/12/1969,94,75,89,-4,15,44,220,19,9,81,Spain
258,"Ek Toh Kum Zindagani (From ""Marjaavaan"")",Neha Kakkar,desi pop,2019,31/12/1969,128,97,67,-2,6,72,190,6,9,67,India
259,El Bombón,Los Palmeras,argentine rock,2016,31/12/1969,164,77,74,-5,8,87,204,20,6,63,Argentina
260,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,31/12/1969,88,65,75,-3,11,48,233,11,7,85,Argentina
261,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,31/12/1969,88,65,75,-3,11,48,233,11,7,85,Chile
262,El Hijo Ausente,Pastor Lopez,cumbia,2012,31/12/1969,107,73,76,-6,13,85,173,63,6,54,Colombia
263,El Jornalero (El Hijo de Tuta),Lisandro Meza,cumbia,2001,31/12/1969,95,72,85,-5,16,96,244,7,6,49,Colombia
264,Ela Vem,MC G15,brega funk,2019,31/12/1969,185,63,62,-7,7,59,197,62,55,81,Brazil
265,Elle est bonne sa mère,Vegedream,francoton,2019,31/12/1969,105,74,79,-5,34,47,197,33,6,70,France
266,En Barranquilla Me Quedo,Joe Arroyo,cumbia,2009,31/12/1969,104,79,62,-6,9,75,312,18,5,63,Colombia
267,Espaçosa Demais - Ao Vivo,Felipe Araújo,funk carioca,2018,31/12/1969,160,89,68,-4,23,71,179,38,8,80,Brazil
268,everything i wanted,Billie Eilish,electropop,2019,31/12/1969,120,23,70,-14,11,24,245,90,10,98,World
269,everything i wanted,Billie Eilish,electropop,2019,31/12/1969,120,23,70,-14,11,24,245,90,10,98,Belgium
270,everything i wanted,Billie Eilish,electropop,2019,31/12/1969,120,23,70,-14,11,24,245,90,10,98,Israel
271,everything i wanted,Billie Eilish,electropop,2019,31/12/1969,120,23,70,-14,11,24,245,90,10,98,Malasya
272,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,31/12/1969,119,65,32,-6,24,47,272,50,3,86,World
274,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,31/12/1969,119,65,32,-6,24,47,272,50,3,86,Australia
275,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,31/12/1969,119,65,32,-6,24,47,272,50,3,86,Belgium
276,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,31/12/1969,119,65,32,-6,24,47,272,50,3,86,Canada
277,Fake News - Ao Vivo,Gustavo Mioto,sertanejo,2019,31/12/1969,114,64,80,-3,97,73,175,47,5,70,Brazil
278,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,-9,9,24,159,12,4,97,World
279,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,-9,9,24,159,12,4,97,Australia
280,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,-9,9,24,159,12,4,97,Germany
281,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,-9,9,24,159,12,4,97,United States
282,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,-9,9,24,159,12,4,97,India
283,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,-9,9,24,159,12,4,97,Indonesia
284,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,-9,9,24,159,12,4,97,Israel
285,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,-9,9,24,159,12,4,97,Italy
286,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,-9,9,24,159,12,4,97,Malasya
287,Falling,Harry Styles,dance pop,2019,31/12/1969,110,27,57,-7,9,6,240,84,3,88,Malasya
288,Fantasía,Ozuna,latin,2019,31/12/1969,180,72,70,-6,9,78,175,23,9,84,Chile
289,Fantasía,Ozuna,latin,2019,31/12/1969,180,72,70,-6,9,78,175,23,9,84,Spain
290,Fantasias,Rauw Alejandro,latin,2019,31/12/1969,94,70,88,-4,6,79,200,14,7,93,Argentina
291,Fantasias,Rauw Alejandro,latin,2019,31/12/1969,94,70,88,-4,6,79,200,14,7,93,Bolivia
292,Fantasias,Rauw Alejandro,latin,2019,31/12/1969,94,70,88,-4,6,79,200,14,7,93,Colombia
293,Fantasias,Rauw Alejandro,latin,2019,31/12/1969,94,70,88,-4,6,79,200,14,7,93,Chile
294,Fantasias,Rauw Alejandro,latin,2019,31/12/1969,94,70,88,-4,6,79,200,14,7,93,Spain
295,Feelings,Lauv,pop,2019,31/12/1969,103,47,69,-7,10,25,190,9,4,73,Malasya
296,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,World
297,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,Africa
298,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,Belgium
299,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,Bolivia
300,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,Canada
301,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,Germany
302,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,Chile
303,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,Spain
304,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,United States
305,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,Italy
306,Ferida Curada,Zé Neto & Cristiano,sertanejo universitario,2019,31/12/1969,146,85,49,-3,21,55,159,49,10,83,Brazil
307,Filhall,B Praak,desi pop,2019,31/12/1969,80,66,53,-4,13,59,255,61,6,74,India
308,Fingindo Maturidade - Ao Vivo,Mano Walter,forro,2019,31/12/1969,166,92,58,-3,94,74,189,29,10,77,Brazil
309,Fire,DJ Big Sky,NA,2019,31/12/1969,114,56,65,-7,5,64,463,2,21,47,Africa
310,Fresa,TINI,latin pop,2019,31/12/1969,96,87,78,-3,10,86,166,22,9,83,Argentina
311,fuck 3x,tha Supreme,trap italiana,2019,31/12/1969,180,81,66,-5,11,69,161,7,8,82,Italy
312,Fuera De Mi Mente,Lérica,spanish pop,2019,31/12/1969,94,94,74,-2,5,70,181,17,10,73,Spain
313,Futsal Shuffle 2020,Lil Uzi Vert,melodic rap,2019,31/12/1969,137,46,88,-8,23,30,199,3,16,90,United States
314,Gaiola É o Troco,MC Du Black,funk carioca,2019,31/12/1969,150,84,72,-3,11,85,187,42,8,84,Brazil
315,GANG (feat. Geolier),Samurai Jay,italian hip hop,2019,31/12/1969,95,46,80,-11,21,58,162,4,24,75,Italy
316,Gasolina (feat. Gambi),Hamza,belgian hip hop,2019,31/12/1969,130,61,95,-8,12,72,179,28,19,52,France
317,"Ghungroo (From ""War"")",Arijit Singh,desi pop,2019,31/12/1969,118,73,70,-6,53,86,303,7,3,75,India
318,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,italian hip hop,2019,31/12/1969,98,63,80,-9,9,39,164,9,14,77,Italy
319,God Bless (feat. Damso),Hamza,belgian hip hop,2019,31/12/1969,83,57,86,-10,6,23,162,1,12,57,France
320,Golpe Con Golpe,Pastor Lopez,cumbia,2012,31/12/1969,102,62,75,-7,6,97,214,60,6,53,Colombia
321,Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,31/12/1969,150,65,55,-4,10,16,175,46,8,92,Malasya
322,Goteo,Duki,argentine hip hop,2019,31/12/1969,108,78,47,-4,19,44,164,19,4,73,Argentina
323,Goteo,Duki,argentine hip hop,2019,31/12/1969,108,78,47,-4,19,44,164,19,4,73,Spain
324,Gurenge,LiSA,anime rock,2019,31/12/1969,135,98,55,-3,8,31,239,0,15,73,Japan
325,Haa Tepok,MeerFly,malaysian hip hop,2019,31/12/1969,87,50,85,-12,15,68,211,66,31,65,Malasya
326,Hakujitsu,King Gnu,j-pop,2019,31/12/1969,93,90,61,-3,29,75,275,67,11,56,Japan
327,Hallelujah,Pentatonix,a cappella,2016,31/12/1969,119,38,32,-7,34,37,269,45,4,82,Germany
328,Halu,Feby Putri,NA,2019,31/12/1969,116,25,34,-15,11,10,266,87,4,79,Indonesia
329,HANABI,Mr.Children,j-pop,2008,31/12/1969,112,77,64,-6,12,60,343,16,3,68,Japan
330,Hanya Rindu,Andmesh,indonesian pop,2019,31/12/1969,179,16,28,-12,11,20,252,89,3,65,Indonesia
331,Hanya Rindu,Andmesh,indonesian pop,2019,31/12/1969,179,16,28,-12,11,20,252,89,3,65,Malasya
332,Happy Xmas (War Is Over),Céline Dion,canadian pop,1998,31/12/1969,172,60,34,-5,28,16,255,45,3,82,Italy
333,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,World
334,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,Africa
335,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,Australia
336,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,Belgium
337,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,Canada
338,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,Germany
339,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,United States
340,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,Italy
341,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,Japan
342,Hasta Que Salga el Sol,Ozuna,latin,2019,31/12/1969,96,82,83,-5,13,60,188,2,7,81,Spain
343,"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,bhangra,2019,31/12/1969,95,98,71,-3,34,57,209,2,8,56,India
344,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,-9,32,34,171,96,4,89,World
345,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,-9,32,34,171,96,4,89,Africa
346,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,-9,32,34,171,96,4,89,Australia
347,Have Yourself A Merry Little Christmas,Ella Fitzgerald,adult standards,1960,31/12/1969,112,25,61,-9,22,48,176,96,4,73,Australia
348,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,-9,32,34,171,96,4,89,Belgium
349,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,-9,32,34,171,96,4,89,Canada
350,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,-9,32,34,171,96,4,89,Germany
351,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,-9,32,34,171,96,4,89,United States
352,Have Yourself A Merry Little Christmas,Judy Garland,adult standards,1944,31/12/1969,181,18,16,-15,26,11,162,97,4,79,United States
353,Hé oh,Gambi,pop urbaine,2019,31/12/1969,105,59,83,-5,20,54,178,7,15,79,France
354,Heartless,The Weeknd,canadian contemporary r&b,2019,31/12/1969,170,75,53,-6,12,20,200,1,11,94,India
355,HIGHEST IN THE ROOM,Travis Scott,rap,2019,31/12/1969,76,43,60,-9,21,6,176,5,3,96,Israel
356,Hikoutei,King Gnu,j-pop,2019,31/12/1969,80,85,47,-3,33,49,262,4,5,50,Japan
357,Hit Contagiante,Felipe Original,brega funk,2019,31/12/1969,170,68,82,-7,9,96,137,13,12,84,Brazil
358,Hoe Het Danst,Marco Borsato,dutch cabaret,2019,31/12/1969,130,86,69,-3,19,42,253,6,5,75,Belgium
359,Hola - Remix,Dalex,latin,2019,31/12/1969,182,67,65,-6,8,34,250,47,31,89,Argentina
360,Hola - Remix,Dalex,latin,2019,31/12/1969,182,67,65,-6,8,34,250,47,31,89,Bolivia
361,Hola - Remix,Dalex,latin,2019,31/12/1969,182,67,65,-6,8,34,250,47,31,89,Colombia
362,Hola - Remix,Dalex,latin,2019,31/12/1969,182,67,65,-6,8,34,250,47,31,89,Chile
363,Hola - Remix,Dalex,latin,2019,31/12/1969,182,67,65,-6,8,34,250,47,31,89,Spain
364,Holly & Benji (feat. Capo Plaza & Shiva),AVA,italian hip hop,2019,31/12/1969,78,79,42,-6,11,50,220,1,27,74,Italy
365,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,World
366,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,Africa
367,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,Australia
368,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,Belgium
369,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,Canada
370,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,Chile
371,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,United States
372,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,France
373,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,Italy
374,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,Malasya
375,hot girl bummer,blackbear,pop,2019,31/12/1969,130,56,78,-7,40,68,185,13,8,96,India
376,hot girl bummer,blackbear,pop,2019,31/12/1969,130,56,78,-7,40,68,185,13,8,96,Malasya
377,How Do You Sleep?,Sam Smith,pop,2019,31/12/1969,111,68,48,-5,8,35,202,15,9,93,Malasya
378,How to Make Gravy,Paul Kelly,australian alternative rock,2019,31/12/1969,95,72,40,-7,25,39,269,6,4,45,Australia
379,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,31/12/1969,102,68,80,-5,9,84,220,9,4,85,Indonesia
380,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,31/12/1969,102,68,80,-5,9,84,220,9,4,85,Israel
381,I Love You 3000,Stephanie Poetri,indonesian pop,2019,31/12/1969,90,38,65,-8,39,41,210,91,4,79,Indonesia
382,I Love You 3000,Stephanie Poetri,indonesian pop,2019,31/12/1969,90,38,65,-8,39,41,210,91,4,79,Malasya
383,I Love You but I'm Letting Go,Pamungkas,indonesian indie,2018,31/12/1969,80,32,39,-9,11,13,220,97,3,71,Indonesia
384,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,31/12/1969,129,71,58,-8,82,61,181,26,5,84,World
